Ref	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
SE	England_CNE	England_LIA	3	196	6312981	0.000378564420627708	0.000153770761929697	2.46187516974641
SE	England_CNE	England_LIA	4	195	5928712	0.000393903883024886	0.000163403057793766	2.41062736734118
SE	England_CNE	England_LIA	5	194	5640014	0.000414321437223718	0.000171287400811188	2.4188669759805
SE	England_CNE	England_LIA	6	193	5411852	0.000431632161734353	0.000178799057633308	2.41406284489246
SE	England_CNE	England_LIA	7	192	5217210	0.000447844240383532	0.000186191130948991	2.40529308834922
SE	England_CNE	England_LIA	8	191	5045114	0.000463185812317861	0.000192777497553676	2.40269646714806
SE	England_CNE	England_LIA	9	190	4895502	0.000481253402077321	0.000198377796059148	2.4259438890723
SE	England_CNE	England_LIA	10	189	4757694	0.000491093467636835	0.000203233932115067	2.41639505040323
SE	England_CNE	England_LIA	11	188	4628831	0.000493552056003121	0.000208726298367287	2.36458970366368
SE	England_CNE	England_LIA	12	187	4513932	0.000498056933556407	0.000210518070247491	2.3658630965545
SE	England_CNE	England_LIA	13	186	4407980	0.000500860767762866	0.000212173084660935	2.36062349078475
SE	England_CNE	England_LIA	14	185	4301937	0.000512902658761476	0.00021596935253681	2.37488631019559
SE	England_CNE	England_LIA	15	184	4204107	0.000506192130145578	0.000218560145962457	2.31603125957158
SE	England_CNE	England_LIA	16	183	4111256	0.000519961670925369	0.000224987926689797	2.31106476945435
SE	England_CNE	England_LIA	17	182	4022845	0.000528299338146126	0.000229994576091949	2.29700781263172
SE	England_CNE	England_LIA	18	181	3938536	0.000544068428896006	0.000232883644706358	2.33622429596557
SE	England_CNE	England_LIA	19	180	3858222	0.000562663964001913	0.000235632698095115	2.38788575843064
