Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
NL	IBS	HAD002	6DT21	19	180	41890	0.000325333865361661	0.000197861327892279	1.64425190524741
NL	IBS	HAD002	6DT22	0	199	50567	0.000656582948958808	0.000149963983177544	4.37827093577179
NL	IBS	HAD002	6DT22	1	198	49578	0.000669826065795313	0.000152652409589892	4.38791675542386
NL	IBS	HAD002	6DT22	2	197	48908	0.000678858530915188	0.000154734490340437	4.38724766160155
NL	IBS	HAD002	6DT22	3	196	48384	0.000684542272858796	0.000156498203105086	4.37412225365385
NL	IBS	HAD002	6DT22	4	195	47786	0.000691743334030888	0.000158260067661287	4.37092782944702
NL	IBS	HAD002	6DT22	5	194	47242	0.000698899241141357	0.000159702396737805	4.3762601903138
NL	IBS	HAD002	6DT22	6	193	46689	0.000707956220094669	0.000162123436856925	4.36677283568472
NL	IBS	HAD002	6DT22	7	192	46131	0.000717760452190501	0.000165181825588419	4.3452749697714
NL	IBS	HAD002	6DT22	8	191	45572	0.000724567881593962	0.000166546172748512	4.35055258032301
NL	IBS	HAD002	6DT22	9	190	45006	0.000730234713593744	0.000168346031069722	4.33770079967795
NL	IBS	HAD002	6DT22	10	189	44414	0.000744875805826992	0.000170090076873126	4.37930195294468
NL	IBS	HAD002	6DT22	11	188	43830	0.000755029692448095	0.000172997296482367	4.36440168604053
NL	IBS	HAD002	6DT22	12	187	43274	0.000765408321856081	0.000176495717869016	4.33669627284735
NL	IBS	HAD002	6DT22	13	186	42678	0.000770080772763484	0.000178781656696019	4.30738134434477
NL	IBS	HAD002	6DT22	14	185	42045	0.000772243684623617	0.000181773271783113	4.24838963973229
NL	IBS	HAD002	6DT22	15	184	41411	0.000783892181304484	0.000184722987218894	4.24360927195046
NL	IBS	HAD002	6DT22	16	183	40785	0.000795627106043889	0.000187508990014734	4.24314112076104
NL	IBS	HAD002	6DT22	17	182	40144	0.000818799731466719	0.00019066644738418	4.29440912494108
NL	IBS	HAD002	6DT22	18	181	39520	0.000834599365384615	0.000192073227056641	4.34521446936745
NL	IBS	HAD002	6DT22	19	180	38874	0.000862212641354118	0.000195779787334422	4.40399212346333
NL	IBS	HAD002	6DT23	0	199	14573	0.000202489694640774	0.000231090218521576	0.876236544914034
NL	IBS	HAD002	6DT23	1	198	14303	0.000205457985038104	0.000236126582291044	0.870117980977091
NL	IBS	HAD002	6DT23	2	197	14127	0.000208017665463297	0.00023863918564086	0.87168276620066
NL	IBS	HAD002	6DT23	3	196	13981	0.000210591010657321	0.000241137723056838	0.873322547744563
NL	IBS	HAD002	6DT23	4	195	13815	0.000215747213174086	0.0002439899987824	0.884246134065921
NL	IBS	HAD002	6DT23	5	194	13653	0.000214902998608365	0.00024781790341106	0.86718108599241
NL	IBS	HAD002	6DT23	6	193	13502	0.000219561290179233	0.000251232964894338	0.873935035840437
NL	IBS	HAD002	6DT23	7	192	13339	0.000220016697653498	0.000253517339569877	0.86785660510158
NL	IBS	HAD002	6DT23	8	191	13169	0.000223712767104564	0.00025762499103338	0.868365938441033
NL	IBS	HAD002	6DT23	9	190	12989	0.000228012388174609	0.000261482355797916	0.871999135386506
NL	IBS	HAD002	6DT23	10	189	12816	0.000235265629681649	0.000266390705717147	0.883160052631316
NL	IBS	HAD002	6DT23	11	188	12624	0.000241428763466414	0.000270289257011106	0.893223675021954
NL	IBS	HAD002	6DT23	12	187	12450	0.000235197800000001	0.000268586696277577	0.875686708462026
NL	IBS	HAD002	6DT23	13	186	12294	0.000221748308931186	0.000271573702486004	0.816530860320006
